City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,Saint-Joseph,-21.3667,55.6167,71.98,93,100,16.55,RE,2022-04-02 00:52:13
195,Namibe,-15.1961,12.1522,70.68,84,92,2.8,AO,2022-04-02 00:52:14
196,Lazaro Cardenas,17.9583,-102.2,75.04,70,100,6.24,MX,2022-04-02 00:52:14
197,Benavente,42.0025,-5.6783,31.42,62,0,11.65,ES,2022-04-02 00:52:15
198,Cherskiy,68.75,161.3,-10.17,85,100,2.73,RU,2022-04-02 00:52:15
199,Pangkalanbuun,-2.6833,111.6167,82.9,71,100,2.26,ID,2022-04-02 00:52:16
200,Galle,6.0367,80.217,78.44,80,8,1.9,LK,2022-04-02 00:52:16
201,Eha Amufu,6.6592,7.7596,78.53,73,100,6.6,NG,2022-04-02 00:52:16
202,Meulaboh,4.1363,96.1285,78.67,84,100,3.0,ID,2022-04-02 00:52:17
203,Mushie,-3.0167,16.9,71.55,94,100,2.82,CD,2022-04-02 00:52:17
204,Boa Vista,2.8197,-60.6733,85.98,51,0,12.66,BR,2022-04-02 00:52:18
205,Natal,-5.795,-35.2094,80.82,83,20,5.75,BR,2022-04-02 00:51:53
206,Alamosa,37.4695,-105.87,48.06,22,1,20.98,US,2022-04-02 00:52:18
207,Leningradskiy,69.3833,178.4167,3.25,88,100,8.75,RU,2022-04-02 00:52:19
208,Rockhampton,-23.3833,150.5,82.29,57,40,9.22,AU,2022-04-02 00:49:58
209,Treinta Y Tres,-33.2333,-54.3833,53.02,83,52,8.23,UY,2022-04-02 00:52:20
210,Acapulco,16.8634,-99.8901,76.59,67,16,6.44,MX,2022-04-02 00:52:20
211,Priargunsk,50.3691,119.1012,41.88,47,94,14.12,RU,2022-04-02 00:52:20
212,Sola,-13.8833,167.55,81.27,78,100,4.61,VU,2022-04-02 00:52:21
213,Manicore,-5.8092,-61.3003,73.94,98,100,2.15,BR,2022-04-02 00:52:21
214,Alice Springs,-23.7,133.8833,69.35,32,60,10.36,AU,2022-04-02 00:52:22
215,Dubai,25.2582,55.3047,70.05,83,0,6.91,AE,2022-04-02 00:50:19
216,Altamura,40.8292,16.5537,47.97,79,96,15.99,IT,2022-04-02 00:52:22
217,Antalaha,-14.9003,50.2788,73.0,92,99,6.44,MG,2022-04-02 00:52:23
218,Olafsvik,64.8945,-23.7142,41.68,90,100,9.71,IS,2022-04-02 00:52:23
219,Chokwe,-24.5333,32.9833,73.09,68,0,3.04,MZ,2022-04-02 00:52:24
220,Singaraja,-8.112,115.0882,82.09,74,65,1.61,ID,2022-04-02 00:52:24
221,Fortuna,40.5982,-124.1573,55.85,74,20,18.41,US,2022-04-02 00:52:25
222,Maldonado,-34.6667,-54.9167,54.79,86,0,5.37,UY,2022-04-02 00:48:51
223,Helmstedt,52.2279,11.0099,34.56,69,100,13.6,DE,2022-04-02 00:53:25
224,Qaqortoq,60.7167,-46.0333,34.2,75,98,5.32,GL,2022-04-02 00:53:26
225,Kemi,65.8596,24.8228,10.17,92,0,3.44,FI,2022-04-02 00:53:26
226,Castro,-24.7911,-50.0119,54.64,98,100,5.55,BR,2022-04-02 00:53:26
227,Marsh Harbour,26.5412,-77.0636,76.68,86,100,10.98,BS,2022-04-02 00:53:27
228,Ballina,-28.8667,153.5667,75.38,64,40,9.22,AU,2022-04-02 00:53:27
