City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Faanui,PF,-16.4833,-151.75,81.82,75,71,10.51,broken clouds
277,Marquette,US,46.5333,-87.6335,40.44,80,99,1.59,overcast clouds
278,Terra Santa,BR,-2.1042,-56.4869,76.19,94,100,3.2,overcast clouds
279,Buraydah,SA,26.326,43.975,82.54,9,70,6.58,broken clouds
280,Yar-Sale,RU,66.8333,70.8333,6.42,92,100,9.91,overcast clouds
281,Belmonte,BR,-15.8631,-38.8828,80.98,72,3,8.05,clear sky
282,Sterling,US,39.0062,-77.4286,56.41,49,75,24.16,broken clouds
283,Westerly,US,41.3776,-71.8273,45.41,83,99,1.99,light rain
284,Punta Alta,AR,-38.8759,-62.0736,62.42,31,71,21.14,broken clouds
285,Mahebourg,MU,-20.4081,57.7,79.25,83,75,11.5,broken clouds
286,Pitanga,BR,-24.7572,-51.7614,75.2,70,28,4.61,scattered clouds
287,Hauterive,FR,46.0901,3.4459,38.16,94,87,2.95,overcast clouds
288,Hami,CN,42.8,93.45,53.71,25,0,8.46,clear sky
289,Bilibino,RU,68.0546,166.4372,-7.46,95,49,4.34,scattered clouds
290,Berlevag,NO,70.8578,29.0864,28.35,54,75,14.97,broken clouds
291,Kokopo,PG,-4.352,152.2633,77.16,85,77,1.66,broken clouds
292,Bandar-E Lengeh,IR,26.5579,54.8807,79.3,49,41,5.84,scattered clouds
293,Groningen,NL,53.25,6.75,40.01,82,40,5.75,scattered clouds
294,Ngunguru,NZ,-35.6167,174.5,64.29,83,11,1.52,few clouds
295,Adrar,MR,20.5022,-10.0711,82.63,11,0,11.05,clear sky
296,Urubicha,BO,-15.3833,-62.95,83.82,59,83,2.89,broken clouds
297,Mwinilunga,ZM,-11.7358,24.4293,62.74,94,70,1.28,light rain
298,Price,US,39.5994,-110.8107,62.11,8,0,5.75,clear sky
299,Le Vauclin,MQ,14.5452,-60.8388,84.25,58,20,18.41,few clouds
300,Karasjok,NO,69.4719,25.5112,18.12,95,99,7.92,overcast clouds
301,Boende,CD,-0.2167,20.8667,73.04,84,100,1.72,overcast clouds
302,Segezha,RU,63.7415,34.3222,16.75,97,100,5.06,overcast clouds
303,Dingle,PH,10.9995,122.6711,75.43,86,100,6.98,overcast clouds
304,Tromso,NO,69.6496,18.957,24.82,54,0,3.44,clear sky
